Regular Season,Thu,10-Oct-13,Soldier Field,Chicago Bears,New York Giants,27,21,372,355,62374
Regular Season,Sun,13-Oct-13,AT&T Stadium,Dallas Cowboys,Washington Redskins,31,16,213,433,90239
Regular Season,Sun,13-Oct-13,MetLife Stadium,Pittsburgh Steelers,New York Jets,19,6,328,267,76957
Regular Season,Sun,13-Oct-13,Sports Authority Field at Mile High,Denver Broncos,Jacksonville Jaguars,35,19,407,362,76862
Regular Season,Sun,13-Oct-13,Arrowhead Stadium,Kansas City Chiefs,Oakland Raiders,24,7,216,274,76394
Regular Season,Sun,13-Oct-13,FirstEnergy Stadium,Detroit Lions,Cleveland Browns,31,17,366,395,71513
Regular Season,Sun,13-Oct-13,M&T Bank Stadium,Green Bay Packers,Baltimore Ravens,19,17,438,360,71319
Regular Season,Sun,13-Oct-13,Reliant Stadium,St. Louis Rams,Houston Texans,38,13,216,420,71104
Regular Season,Sun,13-Oct-13,Candlestick Park,San Francisco 49ers,Arizona Cardinals,32,20,387,403,69732
Regular Season,Sun,13-Oct-13,Gillette Stadium,New England Patriots,New Orleans Saints,30,27,376,361,68756
Regular Season,Sun,13-Oct-13,CenturyLink Field,Seattle Seahawks,Tennessee Titans,20,13,404,223,68127
Regular Season,Sun,13-Oct-13,Ralph Wilson Stadium,Cincinnati Bengals,Buffalo Bills,27,24,483,322,67739
Regular Season,Sun,13-Oct-13,Mall of America Field,Carolina Panthers,Minnesota Vikings,35,10,367,290,63963
Regular Season,Sun,13-Oct-13,Raymond James Stadium,Philadelphia Eagles,Tampa Bay Buccaneers,31,20,425,351,62505
Regular Season,Mon,14-Oct-13,Qualcomm Stadium,San Diego Chargers,Indianapolis Colts,19,9,374,267,57954
Regular Season,Thu,17-Oct-13,University of Phoenix Stadium,Seattle Seahawks,Arizona Cardinals,34,22,344,234,61200
Regular Season,Sun,20-Oct-13,FedExField,Washington Redskins,Chicago Bears,45,41,499,359,83147
Regular Season,Sun,20-Oct-13,Lambeau Field,Green Bay Packers,Cleveland Browns,31,13,357,216,77804
Regular Season,Sun,20-Oct-13,MetLife Stadium,New York Jets,New England Patriots,30,27,383,295,76957
Regular Season,Sun,20-Oct-13,Arrowhead Stadium,Kansas City Chiefs,Houston Texans,17,16,357,294,74118
Regular Season,Sun,20-Oct-13,Bank of America Stadium,Carolina Panthers,St. Louis Rams,30,15,282,317,72686
Regular Season,Sun,20-Oct-13,Georgia Dome,Atlanta Falcons,Tampa Bay Buccaneers,31,23,291,337,69522
Regular Season,Sun,20-Oct-13,Lincoln Financial Field,Dallas Cowboys,Philadelphia Eagles,17,3,368,278,69144
Regular Season,Sun,20-Oct-13,LP Field,San Francisco 49ers,Tennessee Titans,31,17,349,368,69143
Regular Season,Sun,20-Oct-13,Lucas Oil Stadium,Indianapolis Colts,Denver Broncos,39,33,334,429,67196
Regular Season,Sun,20-Oct-13,Ford Field,Cincinnati Bengals,Detroit Lions,27,24,421,434,63207
Regular Season,Sun,20-Oct-13,Heinz Field,Pittsburgh Steelers,Baltimore Ravens,19,16,286,287,62295
Regular Season,Sun,20-Oct-13,Sun Life Stadium,Buffalo Bills,Miami Dolphins,23,21,268,293,60592
Regular Season,Sun,20-Oct-13,EverBank Field,San Diego Chargers,Jacksonville Jaguars,24,6,434,353,59550
Regular Season,Mon,21-Oct-13,MetLife Stadium,New York Giants,Minnesota Vikings,23,7,257,206,79314
Regular Season,Thu,24-Oct-13,Raymond James Stadium,Carolina Panthers,Tampa Bay Buccaneers,31,13,324,297,59073
Regular Season,Sun,27-Oct-13,Wembley Stadium,San Francisco 49ers,Jacksonville Jaguars,42,10,398,318,83559
Regular Season,Sun,27-Oct-13,Sports Authority Field at Mile High,Denver Broncos,Washington Redskins,45,21,446,266,77031
Regular Season,Sun,27-Oct-13,Arrowhead Stadium,Kansas City Chiefs,Cleveland Browns,23,17,331,340,74307
Regular Season,Sun,27-Oct-13,Louisiana Superdome,New Orleans Saints,Buffalo Bills,35,17,386,299,72405
Regular Season,Sun,27-Oct-13,Lincoln Financial Field,New York Giants,Philadelphia Eagles,15,7,325,200,69144
Regular Season,Sun,27-Oct-13,Gillette Stadium,New England Patriots,Miami Dolphins,27,17,252,301,68756
Regular Season,Sun,27-Oct-13,Ford Field,Detroit Lions,Dallas Cowboys,31,30,623,268,64379
Regular Season,Sun,27-Oct-13,Mall of America Field,Green Bay Packers,Minnesota Vikings,44,31,464,243,64134
Regular Season,Sun,27-Oct-13,Paul Brown Stadium,Cincinnati Bengals,New York Jets,49,9,402,240,62576
Regular Season,Sun,27-Oct-13,University of Phoenix Stadium,Arizona Cardinals,Atlanta Falcons,27,13,348,292,60671
Regular Season,Sun,27-Oct-13,O.co Coliseum,Oakland Raiders,Pittsburgh Steelers,21,18,279,276,52950
Regular Season,Mon,28-Oct-13,Edward Jones Dome,Seattle Seahawks,St. Louis Rams,14,9,135,339,55966
Regular Season,Thu,31-Oct-13,Sun Life Stadium,Miami Dolphins,Cincinnati Bengals,22,20,345,465,52388
Regular Season,Sun,3-Nov-13,AT&T Stadium,Dallas Cowboys,Minnesota Vikings,27,23,350,393,85360
